"item_id","item","size1","size2","size3","size4","amt","categ"
109,"Apple Sticks (8)",2.75,0,0,0,0,"Appetizers"
28,"Beef Chow Mein",5.95,8.95,6.25,8.3,0,"Chow Mein"
122,"Beef Egg Foo Young",0,9.5,0,8.3,0,"Egg Foo Young"
6,"Beef Fried Rice",5.95,8.95,0,0,0,"Fried Rice"
14,"Beef Lo Mein",5.95,8.95,6.25,8.3,0,"Lo Mein"
22,"Beef Mai Fun",5.95,8.95,6.25,8.3,0,"Mai Fun"
55,"Beef w/ Broccoli",6.99,9.95,6.25,8.3,0,"Beef"
59,"Beef w/ Chinese Veg.",6.99,9.95,6.25,8.3,0,"Beef"
58,"Beef w/ Garlic Sauce",6.99,9.95,6.25,8.3,0,"Beef"
60,"Beef w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Beef"
57,"Beef w/ Mushroom",6.99,9.95,6.25,8.3,0,"Beef"
56,"Beef w/ Snow Peas",6.99,9.95,6.25,8.3,0,"Beef"
101,"Boneless Spare Ribs",6.25,10.99,6.5,8.5,0,"Appetizers"
80,"Broccoli w/ Garlic Sauce",0,8.25,0,0,0,"Vegetable"
76,"Buddhist Delight",0,8.25,0,0,0,"Vegetable"
104,"Cheese Wontons (8)",4.5,0,0,0,0,"Appetizers"
27,"Chicken Chow Mein",5.5,7.95,6.25,8.3,0,"Chow Mein"
121,"Chicken Egg Foo Young",0,8.5,0,8.3,0,"Egg Foo Young"
5,"Chicken Fried Rice",5.5,7.95,0,0,0,"Fried Rice"
13,"Chicken Lo Mein",5.5,7.95,6.25,8.3,0,"Lo Mein"
21,"Chicken Mai Fun",5.5,7.95,6.25,8.3,0,"Mai Fun"
91,"Chicken Noodle Soup",2.5,3.5,0,0,0,"Soup"
92,"Chicken Rice Soup",2.5,3.5,0,0,0,"Soup"
32,"Chicken w/ Broccoli",6.35,9.25,6.25,8.3,0,"Poultry"
34,"Chicken w/ Cashew Nuts",6.35,9.25,6.25,8.3,0,"Poultry"
36,"Chicken w/ Garlic Sauce",6.35,9.25,6.25,8.3,0,"Poultry"
35,"Chicken w/ Mixed Veg.",6.35,9.25,6.25,8.3,0,"Poultry"
33,"Chicken w/ Snow Peas",6.35,9.25,6.25,8.3,0,"Poultry"
45,"Coral Chicken",0,10.35,6.5,8.3,0,"Poultry"
115,"Coral Sauce",1,0,0,0,0,"Side Orders"
75,"Coral Shrimp",0,12.99,6.5,8.5,0,"Seafood"
74,"Crab & Shrimp Garlic Sauce",0,9.95,6.25,8.3,0,"Seafood"
44,"Crispy Chicken",0,10.35,6.5,8.3,0,"Poultry"
61,"Curry Beef w/ Onions",6.99,9.95,6.25,8.3,0,"Beef"
37,"Curry Chicken w/ Onions",6.35,9.25,6.25,8.3,0,"Poultry"
39,"Diced Chicken & Shrimp",6.35,9.25,6.25,8.3,0,"Poultry"
116,"Dumpling Sauce",0.5,0,0,0,0,"Side Orders"
94,"Egg Drop Soup",1.99,2.99,0,0,0,"Soup"
128,"Four Seasons",0,10.99,0,0,0,"Szechuan & Hunan"
102,"Fried Dumplings",5.25,0,0,0,0,"Appetizers"
117,"Fried Noodles",0.5,0,0,0,0,"Side Orders"
107,"Fried Nuggets (8)",3.99,0,0,0,0,"Appetizers"
108,"Fried Onions (8)",2.75,0,0,0,0,"Appetizers"
105,"Fried Pork Wontons (10)",4.5,0,0,0,0,"Appetizers"
106,"Fried Scallops (8)",3.99,0,0,0,0,"Appetizers"
112,"Fried Shrimp",6.99,0,0,0,0,"Appetizers"
41,"General Tso's Chicken",0,10.35,6.5,8.5,0,"Poultry"
126,"Happy Family",0,11.7,0,0,0,"Szechuan & Hunan"
95,"Hot & Sour Soup",2.7,3.99,0,0,0,"Soup"
118,"Hot Oil",0.5,0,0,0,0,"Side Orders"
125,"House Pan Fried Noodles",0,11.7,0,0,0,"Szechuan & Hunan"
30,"House Special Chow Mein",5.95,8.95,6.25,8.3,0,"Chow Mein"
8,"House Special Fried Rice",5.95,8.95,0,0,0,"Fried Rice"
16,"House Special Lo Mein",5.95,8.95,6.25,8.3,0,"Lo Mein"
24,"House Special Mai Fun",5.95,8.95,6.25,8.3,0,"Mai Fun"
96,"House Special Soup",4.95,0,0,0,0,"Soup"
81,"Hunan Bean Curd",0,8.25,0,0,0,"Vegetable"
130,"Hunan Beef",0,10.35,6.5,8.5,0,"Szechuan & Hunan"
131,"Hunan Chicken",0,10.35,6.5,8.5,0,"Szechuan & Hunan"
129,"Hunan Triple Delight",0,10.65,0,0,0,"Szechuan & Hunan"
38,"Kum Po Chicken",6.35,9.25,6.25,8.3,0,"Poultry"
72,"Kum Po Shrimp",6.99,9.95,6.25,8.3,0,"Seafood"
82,"Ma Po Tofu",0,8.25,0,0,0,"Vegetable"
79,"Mixed Veg. w/ Garlic Sauce",0,8.25,0,0,0,"Vegetable"
63,"Mongolian Beef",0,10.35,0,8.5,0,"Beef"
31,"Moo Goo Gai Pan",6.35,9.25,6.25,8.3,0,"Poultry"
133,"Moo Shu Chicken",0,9.25,0,0,0,"Szechuan & Hunan"
132,"Moo Shu Pork",0,9.25,0,0,0,"Szechuan & Hunan"
134,"Moo Shu Shrimp",0,9.95,0,0,0,"Szechuan & Hunan"
77,"Moo Shu Vegetable",0,8.25,0,0,0,"Vegetable"
62,"Orange Beef",0,10.65,6.5,8.5,0,"Beef"
43,"Orange Chicken",0,10.35,6.5,8.5,0,"Poultry"
46,"Pepper Chicken",0,10.35,0,8.5,0,"Poultry"
54,"Pepper Steak w/ Onions",6.99,9.95,6.25,8.3,0,"Beef"
1,"Plain Fried Rice",5.1,7.5,0,0,0,"Fried Rice"
9,"Plain Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
17,"Plain Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
26,"Pork Chow Mein",5.5,7.95,6.25,8.3,0,"Chow Mein"
120,"Pork Egg Foo Young",0,8.5,0,8.3,0,"Egg Foo Young"
99,"Pork Egg Roll",1.29,0,0,0,0,"Appetizers"
4,"Pork Fried Rice",5.5,7.95,0,0,0,"Fried Rice"
12,"Pork Lo Mein",5.5,7.95,6.25,8.3,0,"Lo Mein"
20,"Pork Mai Fun",5.5,7.95,6.25,8.3,0,"Mai Fun"
48,"Pork w/ Broccoli",6.35,9.25,6.25,8.3,0,"Pork"
47,"Pork w/ Chinese Veg.",6.35,9.25,6.25,8.3,0,"Pork"
51,"Pork w/ Garlic Sauce",6.35,9.25,6.25,8.3,0,"Pork"
50,"Pork w/ Mushroom",6.35,9.25,6.25,8.3,0,"Pork"
49,"Pork w/ Snow Peas",6.35,9.25,6.25,8.3,0,"Pork"
2,"Regular Fried Rice",5.1,7.5,0,0,0,"Fried Rice"
10,"Regular Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
18,"Regular Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
53,"Sauteed Sliced Pork",0,9.25,0,0,0,"Pork"
78,"Sauteed Vegetable",0,8.25,0,0,0,"Vegetable"
127,"Seafood Delight",0,11.7,0,0,0,"Szechuan & Hunan"
124,"Seafood Pan Fried Noodles",0,11.7,0,0,0,"Szechuan & Hunan"
97,"Seafood Soup",5.95,0,0,0,0,"Soup"
42,"Sesame Chicken",0,10.35,6.5,8.5,0,"Poultry"
29,"Shrimp Chow Mein",5.95,8.95,6.25,8.3,0,"Chow Mein"
123,"Shrimp Egg Foo Young",0,9.5,0,8.3,0,"Egg Foo Young"
100,"Shrimp Egg Roll",1.39,0,0,0,0,"Appetizers"
7,"Shrimp Fried Rice",5.95,8.95,0,0,0,"Fried Rice"
15,"Shrimp Lo Mein",5.95,8.95,6.25,8.3,0,"Lo Mein"
23,"Shrimp Mai Fun",5.95,8.95,6.25,8.3,0,"Mai Fun"
65,"Shrimp w/ Broccoli",6.99,9.95,6.25,8.3,0,"Seafood"
67,"Shrimp w/ Cashew Nuts",6.99,9.95,6.25,8.3,0,"Seafood"
69,"Shrimp w/ Chinese Veg.",6.99,9.95,6.25,8.3,0,"Seafood"
71,"Shrimp w/ Curry Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
68,"Shrimp w/ Garlic Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
64,"Shrimp w/ Lobster Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
70,"Shrimp w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Seafood"
66,"Shrimp w/ Snow Peas",6.99,9.95,6.25,8.3,0,"Seafood"
98,"Spring Roll (2)",2.5,0,0,0,0,"Appetizers"
83,"Steam Broccoli",0,8.25,0,0,0,"Vegetable"
85,"Steam Chicken w/ Broccoli",6.35,9.25,6.25,8.3,0,"Vegetable"
86,"Steam Chicken w/ Mixed Veg.",6.35,9.25,6.25,8.3,0,"Vegetable"
103,"Steam Dumplings",5.25,0,0,0,0,"Appetizers"
84,"Steam Mixed Veg.",0,8.25,0,0,0,"Vegetable"
87,"Steam Shrimp w/ Broccoli",6.99,9.95,6.25,8.3,0,"Vegetable"
88,"Steam Shrimp w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Vegetable"
40,"Sweet & Sour Chicken",0,9.25,6.25,8.3,0,"Poultry"
52,"Sweet & Sour Pork",0,9.25,6.25,8.3,0,"Pork"
114,"Sweet & Sour Sauce",1,0,0,0,0,"Side Orders"
73,"Sweet & Sour Shrimp",0,9.95,6.25,8.3,0,"Seafood"
135,"Szechuan Chicken",0,10.35,0,0,0,"Szechuan & Hunan"
111,"Teriyaki Beef (5)",4.99,0,0,0,0,"Appetizers"
110,"Teriyaki Chicken (5)",4.69,0,0,0,0,"Appetizers"
93,"Veg. w/ Bean Curd Soup",2.5,3.5,0,0,0,"Soup"
25,"Vegetable Chow Mein",5.1,7.5,6.25,8.3,0,"Chow Mein"
119,"Vegetable Egg Foo Young",0,8.5,0,8.3,0,"Egg Foo Young"
3,"Vegetable Fried Rice",5.1,7.5,0,0,0,"Fried Rice"
11,"Vegetable Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
19,"Vegetable Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
113,"White Rice",2.5,3,0,0,0,"Side Orders"
90,"Wonton Egg Drop Soup",2.5,3.5,0,0,0,"Soup"
89,"Wonton Soup",2.5,3.5,0,0,0,"Soup"
