"item","half1","half2","amt","categ"
"Apple Sticks (8)","Apple","Sticks (12)",0,"Appetizer"
"Beef Chow Mein","Beef","Chow Mein",0,"Chow Mein"
"Beef Egg Foo Young","Beef","Egg Foo Young",0,"Egg Foo Young"
"Beef Fried Rice","Beef","Fried Rice",0,"Fried Rice"
"Beef Lo Mein","Beef","Lo Mein",0,"Lo Mein"
"Beef Mai Fun","Beef","Mai Fun",0,"Mai Fun"
"Beef w/ Broccoli","Beef w/","Broccoli",0,"Beef"
"Beef w/ Chinese Veg.","Beef w/","Chinese Veg.",0,"Beef"
"Beef w/ Garlic Sauce","Beef w/","Garlic Sauce",0,"Beef"
"Beef w/ Mixed Veg.","Beef w/","Mixed Veg.",0,"Beef"
"Beef w/ Mushroom","Beef w/","Mushroom",0,"Beef"
"Beef w/ Snow Peas","Beef w/","Snow Peas",0,"Beef"
"Boneless Spare Ribs","Boneless","Spare Ribs",0,"Appetizer"
"Broccoli w/ Garlic Sauce","Broccoli w/","Garlic Sauce",0,"Vegetable"
"Buddhist Delight","Buddhist","Delight",0,"Vegetable"
"Cheese Wontons (8)","Cheese","Wontons (8)",0,"Appetizer"
"Chicken Chow Mein","Chicken","Chow Mein",0,"Chow Mein"
"Chicken Egg Foo Young","Chicken","Egg Foo Young",0,"Egg Foo Young"
"Chicken Fried Rice","Chicken","Fried Rice",0,"Fried Rice"
"Chicken Lo Mein","Chicken","Lo Mein",0,"Lo Mein"
"Chicken Mai Fun","Chicken","Mai Fun",0,"Mai Fun"
"Chicken Noodle Soup","Chicken","Noodle Soup",0,"Soup"
"Chicken Rice Soup","Chicken","Rice Soup",0,"Soup"
"Chicken w/ Broccoli","Chicken w/","Broccoli",0,"Chicken"
"Chicken w/ Cashew Nuts","Chicken w/","Cashew Nuts",0,"Chicken"
"Chicken w/ Garlic Sauce","Chicken w/","Garlic Sauce",0,"Chicken"
"Chicken w/ Mixed Veg.","Chicken w/","Mixed Veg.",0,"Chicken"
"Chicken w/ Snow Peas","Chicken w/","Snow Peas",0,"Chicken"
"Coral Chicken","Coral","Chicken",0,"Chicken"
"Coral Sauce","Coral","Sauce",0,"Side Order"
"Coral Shrimp","Coral","Shrimp",0,"Shrimp"
"Crab & Shrimp Garlic Sauce","Crab & Shrimp","Garlic Sauce",0,"Shrimp"
"Crispy Chicken","Crispy","Chicken",0,"Chicken"
"Curry Beef w/ Onions","Curry Beef","w/ Onions",0,"Beef"
"Curry Chicken w/ Onions","Curry Chicken","w/ Onions",0,"Chicken"
"Diced Chicken & Shrimp","Diced Chicken","& Shrimp",0,"Chicken"
"Dumpling Sauce","Dumpling","Sauce",0,"Side Order"
"Egg Drop Soup","Egg","Drop Soup",0,"Soup"
"Four Seasons","Four","Seasons",0,"Szechuan & Hunan"
"Fried Dumplings (8)","Fried","Dumplings (8)",0,"Appetizer"
"Fried Noodles","Fried","Noodles",0,"Side Order"
"Fried Nuggets (8)","Fried","Nuggets (8)",0,"Appetizer"
"Fried Onions (8)","Fried","Onions (12)",0,"Appetizer"
"Fried Pork Wontons (10)","Fried Pork","Wontons (10)",0,"Appetizer"
"Fried Scallops (8)","Fried","Scallops (8)",0,"Appetizer"
"Fried Shrimp (20)","Fried","Shrimp (20)",0,"Appetizer"
"General Tso's Chicken","General Tso's","Chicken",0,"Chicken"
"Happy Family","Happy","Family",0,"Szechuan & Hunan"
"Hot & Sour Soup","Hot &","Sour Soup",0,"Soup"
"Hot Oil","Hot","Oil",0,"Side Order"
"House Pan Fried Noodles","House Pan","Fried Noodles",0,"Szechuan & Hunan"
"House Special Chow Mein","House Special","Chow Mein",0,"Chow Mein"
"House Special Fried Rice","House Special","Fried Rice",0,"Fried Rice"
"House Special Lo Mein","House Special","Lo Mein",0,"Lo Mein"
